file name,WER
sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey,2.857758621
usman_riaz_preston_reed_a_young_guitarist_meets_his_hero,1.598615917
alexis_ohanian_how_to_make_a_splash_in_social_media,0.345750873
david_s_rose_how_to_pitch_to_a_vc,0.340290955
steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss,0.335489834
jeff_hawkins_how_brain_science_will_change_computing,0.271996216
ryan_heffington_how_dance_can_unleash_your_inner_joy,0.269779507
richard_pyle_a_dive_into_the_reef_s_twilight_zone,0.20345707
lizzo_the_black_history_of_twerking_and_how_it_taught_me_self_love,0.198678862
alex_rosenthal_can_you_solve_the_rogue_submarine_riddle_difficulty_level_master,0.189692982
dennis_hong_my_seven_species_of_robot_and_how_we_created_them,0.186181076
lalitesh_katragadda_making_maps_to_fight_disaster_build_economies,0.184357542
molly_wright_how_every_child_can_thrive_by_five,0.180592992
helen_fisher_technology_hasn_t_changed_love_here_s_why,0.179504814
hrishikesh_hirway_what_you_discover_when_you_really_listen,0.174958077
shimon_steinberg_natural_pest_control_using_bugs,0.174471993
maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar,0.169844021
olafur_eliasson_playing_with_space_and_light,0.162294082
t_boone_pickens_let_s_transform_energy_with_natural_gas,0.160944206
chika_ezeanya_esiobu_how_africa_can_use_its_traditional_knowledge_to_make_progress,0.158671587
elon_musk_the_mind_behind_tesla_spacex_solarcity,0.156426156
shunan_teng_how_the_monkey_king_escaped_the_underworld,0.15128593
clifford_stoll_the_call_to_learn,0.145988113
marco_tempest_and_for_my_next_trick_a_robot,0.144092219
melissa_villasenor_how_i_found_myself_by_impersonating_other_people,0.141104294
bilal_bomani_plant_fuels_that_could_power_a_jet,0.140566038
jonathan_haidt_can_a_divided_america_heal,0.139106145
sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii,0.135714286
roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson,0.135381115
david_grady_how_to_save_the_world_or_at_least_yourself_from_bad_meetings,0.134275618
ismael_nazario_what_i_learned_as_a_kid_in_jail,0.133603239
abigail_washburn_building_us_china_relations_by_banjo,0.132169576
hans_block_and_moritz_riesewieck_the_price_of_a_clean_internet,0.131121643
nick_veasey_exposing_the_invisible,0.130616026
charles_anderson_dragonflies_that_fly_across_oceans,0.12973138
iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son,0.125412541
matthieu_ricard_the_habits_of_happiness,0.12517337
marisa_fick_jordan_the_wonder_of_zulu_wire_art,0.123563218
al_gore_gloria_kasang_bulus_nana_firman_ximena_loria_and_tim_guinee_climate_change_is_our_reality_here_s_how_we_re_taking_action,0.120819849
joe_derisi_solving_medical_mysteries,0.120583468
michelle_borkin_can_astronomers_help_doctors,0.120563035
shou_chew_tiktok_s_ceo_on_its_future_and_what_makes_its_algorithm_different,0.117058251
baba_shiv_sometimes_it_s_good_to_give_up_the_driver_s_seat,0.116545894
bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry,0.114974762
johanna_figueira_simple_effective_tech_to_connect_communities_in_crisis,0.113826816
edward_snowden_here_s_how_we_take_back_the_internet,0.112387517
stella_young_i_m_not_your_inspiration_thank_you_very_much,0.10892587
eve_abrams_the_human_stories_behind_mass_incarceration,0.108043789
anjali_sud_and_stephanie_mehta_how_great_leaders_take_on_uncertainty,0.107858243
stephanie_honchell_smith_history_vs_tamerlane_the_conqueror,0.107540173
gloria_steinem_to_future_generations_of_women_you_are_the_roots_of_change,0.107162384
isabel_behncke_evolution_s_gift_of_play_from_bonobo_apes_to_humans,0.106879607
timothy_ihrig_what_we_can_do_to_die_well,0.10625
tyrone_hayes_penelope_jagessar_chaffer_the_toxic_baby,0.105747973
robert_full_robots_inspired_by_cockroach_ingenuity,0.105195638
robert_neuwirth_the_power_of_the_informal_economy,0.104771784
tao_zhang_is_alternative_meat_the_recipe_for_a_healthier_planet,0.104675506
jeff_speck_4_ways_to_make_a_city_more_walkable,0.104208999
joel_levine_why_we_need_to_go_back_to_mars,0.10413761
ameera_harouda_why_i_put_myself_in_danger_to_tell_the_stories_of_gaza,0.10266535
alex_kipman_a_futuristic_vision_of_the_age_of_holograms,0.101216163
tim_urban_inside_the_mind_of_a_master_procrastinator,0.099099099
nick_sears_demo_the_orb,0.09807074
lucy_cooke_sloths_the_strange_life_of_the_world_s_slowest_mammal,0.097855965
c_k_williams_poetry_of_youth_and_age,0.097038887
greg_stone_saving_the_ocean_one_island_at_a_time,0.096794872
eddie_obeng_smart_failure_for_a_fast_changing_world,0.096113665
iyad_rahwan_what_moral_decisions_should_driverless_cars_make,0.094822888
steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason,0.093023256
tierney_thys_and_christian_sardet_meet_the_microbes_that_could_eat_your_trash,0.092767296
jane_goodall_what_separates_us_from_chimpanzees,0.09239384
danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are,0.092050209
darrick_hamilton_how_baby_bonds_could_help_close_the_wealth_gap,0.091885442
sendhil_mullainathan_solving_social_problems_with_a_nudge,0.089859594
joel_leon_the_beautiful_hard_work_of_co_parenting,0.089562764
leila_pirhaji_the_medical_potential_of_ai_and_metabolites,0.08952959
